,sharePrice_change,percentYearIncrease,percentYearIncrease_change,market_cap,market_cap_change,analystRecommend,analystRecommend_change,totalSentiment,totalSentiment_change,cnnP/S,cnnP/S_change,popularity,popularity_change,relevance,relevance_change,ytdPercent,ytdPercent_change,yahooOutlookLevel,yahooOutlookLevel_change,fair_value,fair_value_change,guruRating,guruRating_change,sector,industry,sectorSuccess,sectorSuccess_change,5-Year EBITDA Growth Rate,5-Year EBITDA Growth Rate_change,Altman Z-Score,Altman Z-Score_change,Beneish M-Score,Beneish M-Score_change,Book Value per Share,Book Value per Share_change,Cash per Share,Cash per Share_change,Dividends per Share,Dividends per Share_change,E10,E10_change,Earnings per Share (Diluted),Earnings per Share (Diluted)_change,EBIT per Share,EBIT per Share_change,EBITDA per Share,EBITDA per Share_change,EPS without NRI,EPS without NRI_change,FFO per Share,FFO per Share_change,Financial Strength,Financial Strength_change,Float Percentage Of Total Shares Outstanding,Float Percentage Of Total Shares Outstanding_change,Free Cash Flow per Share,Free Cash Flow per Share_change,Insider Ownership,Insider Ownership_change,Institutional Ownership,Institutional Ownership_change,Net Cash per Share,Net Cash per Share_change,Net Current Asset Value,Net Current Asset Value_change,Net-Net Working Capital,Net-Net Working Capital_change,Owner Earnings per Share (TTM),Owner Earnings per Share (TTM)_change,Piotroski F-Score,Piotroski F-Score_change,Predictability Rank_change,Profitability Rank,Profitability Rank_change,Quality Rank_change,Revenue per Share,Revenue per Share_change,Scaled Net Operating Assets,Scaled Net Operating Assets_change,Short Interest_change,Short Percentage of Float_change,Tangible Book per Share,Tangible Book per Share_change,Total Debt per Share,Total Debt per Share_change,Valuation Rank_change,YoY EBITDA Growth,YoY EBITDA Growth_change,YoY EPS Growth,YoY EPS Growth_change,YoY Rev. per Sh. Growth,YoY Rev. per Sh. Growth_change,Asset Turnover_change,Buyback Yield %,Buyback Yield %_change,Cash Conversion Cycle,Cash Conversion Cycle_change,COGS-to-Revenue_change,Current Ratio,Current Ratio_change,Days Inventory,Days Inventory_change,Days Payable,Days Payable_change,Days Sales Outstanding,Days Sales Outstanding_change,Debt-to-Asset,Debt-to-Asset_change,Debt-to-EBITDA,Debt-to-EBITDA_change,Debt-to-Equity,Debt-to-Equity_change,Debt-to-Revenue,Debt-to-Revenue_change,Earnings Yield %,Earnings Yield %_change,Earnings Yield (Joel Greenblatt) %,Earnings Yield (Joel Greenblatt) %_change,Effective Interest Rate on Debt %,Effective Interest Rate on Debt %_change,Equity-to-Asset,Equity-to-Asset_change,EV-to-EBIT,EV-to-EBIT_change,EV-to-EBITDA,EV-to-EBITDA_change,EV-to-Revenue,EV-to-Revenue_change,Forward PE Ratio,Forward PE Ratio_change,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_change,Goodwill-to-Asset,Goodwill-to-Asset_change,Gross-Profit-to-Asset %,Gross-Profit-to-Asset %_change,Inventory Turnover,Inventory Turnover_change,Inventory-to-Revenue,Inventory-to-Revenue_change,LT-Debt-to-Total-Asset,LT-Debt-to-Total-Asset_change,PB Ratio,PB Ratio_change,PE Ratio,PE Ratio_change,PE Ratio without NRI,PE Ratio without NRI_change,PEG Ratio,PEG Ratio_change,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_change,Price-to-Funds-From-Operations,Price-to-Funds-From-Operations_change,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_change,Price-to-Owner-Earnings,Price-to-Owner-Earnings_change,Price-to-Tangible-Book,Price-to-Tangible-Book_change,PS Ratio,PS Ratio_change,Quick Ratio,Quick Ratio_change,Return-on-Tangible-Asset,Return-on-Tangible-Asset_change,ROA %,ROA %_change,ROC %,ROC %_change,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_change,ROCE %,ROCE %_change,ROE %,ROE %_change,ROE % Adjusted to Book Value,ROE % Adjusted to Book Value_change,ROIC %,ROIC %_change,Shares Buyback Ratio %,Shares Buyback Ratio %_change,Shiller PE Ratio,Shiller PE Ratio_change,Short Ratio_change,Sloan Ratio %,Sloan Ratio %_change,WACC %,WACC %_change,FCF Margin %,FCF Margin %_change,Gross Margin %,Gross Margin %_change,Net Interest Margin (Bank Only) %,Net Interest Margin (Bank Only) %_change,Net Margin %,Net Margin %_change,Operating Margin %,Operating Margin %_change,s&p_change
DELL,0.09272629310344832,1.953967534,-0.10574594972602257,77381000000,0.09380168209767474,13.74772708,-0.022991579464304534,0.08476783917000001,-0.1788788846604555,0.59,0.0,2.3647838930000002,-15.270380772825025,880,0.03529411764705882,38.93,0.48361280487804886,3,0.0,-1,-0.0,0.0,0.0,12,72,4,-0.5,41.1,0.0,1.07,0.03883495145631071,-2.76,-0.0,3.92,0.0,18.86,0.0,0.0,0.0,0.0,0.0,4.21,0.0,7.88,0.0,14.92,0.0,4.21,0.0,0.0,0.0,4,0.0,35.93,0.0,12.06,0.0,0.99,0.0,24.09,0.0,-141.12,-0.0,-102.12,-0.0,-126.12,-0.0,10.56,0.0,5.0,0.0,0,3,0.0,0,122.98,0.0,0.37,0.0,0,0,-69.47,-0.0,66.68,0.0,0,52.44,0.0,190.74,0.0,5.57,0.0,0.0,1.49,-0.08588957055214719,-45.89,-0.0,0.0,0.8,0.0,17.26,0.0,105.37,0.0,42.22,0.0,0.41,0.0,3.55,0.0,17.01,0.0,0.48,0.0,4.14,-0.09010989010989015,6.31,0.0,4.19,0.0,0.02,0.0,19.59,0.06294085729788389,10.37,0.06358974358974351,1.26,0.0677966101694916,12.31,0.07982456140350878,29.93,0.0,0.33,0.0,26.89,0.0,5.29,0.0,0.13,0.0,0.35,0.0,25.97,0.09995764506565012,24.17,0.09963603275705192,24.17,0.09963603275705192,0.59,0.11320754716981121,8.44,0.10039113428943931,0.0,0.0,6.89,0.10063897763578274,9.64,0.1004566210045663,0.0,0.0,0.83,0.10666666666666662,0.74,0.0,7.48,0.0,4.05,0.0,6.8,0.0,101.51,0.0,12.56,0.0,225.09,0.0,12.1,0.0,6.8,0.0,-1.07,-0.0,0.0,0.0,0,-6.24,-0.0,-1268.11,-0.0547144635522658,20.6,0.0,31.2,0.0,0.0,0.0,4.7,0.0,8.34,0.0,0.016130646275355952
PDFS,-0.06373504035624823,0.0639971097,0.0774731825184822,729158000,0.0,8.660254038,0.0,0.06476406921,-0.3432549029623514,8.45,0.0,1.420808081,0.0,96,0.0,-22.08,0.35128518971848216,-3,-0.0,-1,-0.0,1.0,0.0,0,25,6,0.0,0.0,0.0,7.6,-0.0367553865652725,-3.74,-0.0,6.36,0.0,3.94,0.0,0.0,0.0,0.13,0.0,-1.12,-0.0,-0.48,-0.0,-0.25,-0.0,-1.12,-0.0,0.0,0.0,7,-0.125,76.81,0.0,0.42,0.0,16.42,0.0,79.22,0.0,2.5,0.0,3.81,0.0,3.2,0.0,-0.04,-0.0,3.0,0.0,0,5,0.0,0,2.56,0.0,0.31,0.0,0,0,5.27,0.0,0.23,0.0,0,-1500.0,-0.0,-2175.0,-0.0,-12.5,-0.0,0.0,0.0,0.0,121.36,0.0,0.0,4.58,0.0,0.0,0.0,30.66,0.0,152.02,0.0,0.03,0.0,-0.51,-0.0,0.04,0.0,0.09,0.0,0.0,0.0,-2.55,-0.0,34.79,0.0,0.82,0.0,-29.9,-0.04867960547247856,-58.25,-0.048513557660895115,5.7,-0.048414023372287146,0.0,0.0,0.0,0.0,0.06,0.0,16.76,0.0,0.0,0.0,0.0,0.0,0.02,0.0,2.7,-0.039145907473309566,0.0,0.0,0.0,0.0,0.0,0.0,40.57,-0.03839772457928413,0.0,0.0,27.34,-0.03867791842475392,0.0,0.0,3.26,-0.041176470588235335,6.72,-0.03862660944206015,4.58,0.0,-48.63,-0.0,-44.73,-0.0,-89.16,-0.0,-42.52,-0.0,-9.63,-0.0,-53.6,-0.0,-15.81,-0.0,-89.16,-0.0,-13.37,-0.0,132.31,-0.03858450806568814,0,30.72,0.0,11.19,-0.005333333333333377,41.6,0.0,56.01,0.0,0.0,0.0,-149.54,-0.0,-28.16,-0.0,0.016130646275355952
STAR,-0.004950495049504943,0.25848681219999997,0.021111110991722845,1310000000,0.0,1.4142135619999998,0.0,0.08456893347000001,-0.2846344158013566,2.22,0.0,3.9969678930000003,0.049323810186897785,188,0.010752688172043012,22.29,-0.06226335717290705,3,0.0,-1,-0.0,1.0,0.0,6,6,18,0.0,0.0,0.0,-0.2,-0.0,-2.5,-0.0,11.78,0.0,1.33,0.0,0.43,0.0,-0.5,-0.0,-0.88,-0.0,-0.77,-0.0,-0.01,-0.0,-0.88,-0.0,0.1,0.0,2,0.0,68.12,0.0,-0.45,-0.0,6.11,0.0,98.25,0.0,-52.62,-0.0,-43.08,-0.0,-52.03,-0.0,-1.76,-0.0,6.0,0.0,0,3,0.0,0,7.01,0.0,0.92,0.0,0,0,9.67,0.0,47.73,0.0,0,20.47,0.0,63.89,0.0,22.48,0.0,0.0,4.01,0.0,35.54,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,35.54,0.0,0.73,0.0,-87.6,-0.0,4.05,0.0,6.04,0.0,0.0,0.0,-1.24,-0.0,0.0,0.0,0.18,0.0,-84.98,0.0011781338360038706,-9260.94,0.0011891969028988295,9.38,0.0010672358591250334,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.73,0.0,1.56,0.006451612903225812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.25,0.004358785841823404,60.59,0.004309630366318666,0.0,0.0,1.9,0.005291005291005296,2.62,0.0038314176245211615,6.33,0.0,-1.12,-0.0,-1.08,-0.0,-2.14,-0.0,-9.17,-0.0,-2.09,-0.0,-8.62,-0.0,-6.84,-0.0,-2.14,-0.0,4.94,0.0,0.0,0.0,0,-1.96,-0.0,1.66,-0.005988023952095814,11.27,0.0,15.33,0.0,0.0,0.0,-9.05,-0.0,-16.96,-0.0,0.016130646275355952
BELFA,-0.09759102188533322,0.49188028869999995,0.10450685830217363,238274000,-0.014814539169840029,7.071067812000001,0.0,0.08453474819,-0.3237570979617578,0.4,0.0,0.4655693582,0.0,166,0.006060606060606061,19.05,-0.5514480809983517,-3,2.0,-1,-0.0,1.0,0.0,12,43,4,-0.5,0.0,0.0,2.64,-0.01492537313432837,-2.92,-0.0,15.04,0.0,6.88,0.0,0.24,0.0,-0.04,-0.0,1.03,0.0,1.37,0.0,2.7,0.0,1.03,0.0,0.0,0.0,5,0.0,10.51,0.0,3.29,0.0,5.26,0.0,13.72,0.0,-14.82,-0.0,0.98,0.0,-6.44,-0.0,2.44,-0.02788844621513938,7.0,0.0,0,5,0.0,0,37.77,0.0,0.5,0.0,0,0,7.78,0.0,10.54,0.0,0,2257.14,0.0,151.92,0.0,0.2,0.0,0.0,0.0,0.0,120.55,0.0,0.0,3.2,0.0,107.1,0.0,41.99,0.0,55.44,0.0,0.29,0.0,3.49,0.0,0.7,0.0,0.28,0.0,6.73,0.1050903119868638,7.31,0.0,2.66,0.0,0.41,0.0,15.02,-0.06823821339950381,7.62,-0.06731946144430842,0.54,-0.06896551724137918,14.73,-0.09687308399754742,0.0,0.0,0.05,0.0,25.72,0.0,0.85,0.0,0.88,0.0,0.26,0.0,1.02,-0.08928571428571436,14.86,-0.09445460085313838,14.86,-0.09445460085313838,0.0,0.0,4.65,-0.09533073929961076,0.0,0.0,4.1,-0.09292035398230088,6.27,-0.06973293768546003,1.97,-0.0921658986175115,0.41,-0.08888888888888896,2.06,0.0,3.88,0.0,3.12,0.0,4.23,0.0,13.51,0.0,5.69,0.0,7.79,0.0,8.85,0.0,4.23,0.0,-0.66,-0.0,0.0,0.0,0,-7.01,-0.0,10.11,-0.02413127413127413,8.92,0.0,25.24,0.0,0.0,0.0,3.06,0.0,3.36,0.0,0.016130646275355952
AMRN,-0.024975417895771835,-0.2237903226,-0.0015508682463924617,1945000000,-0.022613065326633167,9.0,0.0,0.08787997787,-0.2925892336219178,3.02,0.0,2.243352432,0.3898738839525701,107839,0.003994041523135649,0.82,-0.8088578088578089,-6,0.5,-1,-0.0,1.0,0.0,10,26,5,-0.2857142857142857,41.3,0.0,2.74,-0.06164383561643826,-0.94,-0.0,1.6,0.0,1.28,0.0,0.0,0.0,-0.24,-0.0,-0.06,-0.0,-0.04,-0.0,-0.04,-0.0,-0.06,-0.0,0.0,0.0,6,-0.14285714285714285,0.0,0.0,-0.06,-0.0,1.94,0.0,15.76,0.0,0.41,0.0,1.38,0.0,0.95,0.0,-0.18,-0.0,3.0,0.0,0,2,0.0,0,1.6,0.0,0.14,0.0,0,0,1.56,0.0,0.02,0.0,0,-16.0,-0.0,-50.0,-0.0,7.27,0.0,0.0,0.0,0.0,226.9,0.0,0.0,2.86,0.0,442.75,0.0,298.2,0.0,82.35,0.0,0.01,0.0,0.28,0.0,0.02,0.0,0.01,0.0,0.0,0.0,-1.03,-0.0,4.68,0.0,0.65,0.0,-101.89,-0.0641131624873703,-118.36,-0.0640518741103906,2.43,-0.06538461538461536,0.0,-1.0,0.0,0.0,0.0,0.0,55.02,0.0,0.21,0.0,1.01,0.0,0.01,0.0,3.17,-0.03939393939393936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.24,-0.038575667655786315,3.17,-0.03939393939393936,2.25,0.0,2.08,0.0,2.05,0.0,13.42,0.0,61.37,0.0,4.8,0.0,3.19,0.0,1.04,0.0,13.42,0.0,-9.01,-0.0,0.0,0.0,0,39.41,0.0,14.82,0.011604095563139927,-22.91,-0.0,79.21,0.0,0.0,0.0,2.95,0.0,4.28,0.0,0.016130646275355952
GOCO,-0.024938675388389182,1.159302348,0.03158769768643488,3857000000,0.008893539105414596,16.58312395,0.0,0.0846798043,-0.06938997391856191,5.0,0.0,2.365348124,-0.17128531610139275,578,0.006968641114982578,-11.79,0.18373493975903596,-1,-0.0,-1,-0.0,0.0,0.0,6,125,18,0.0,0.0,0.0,3.64,0.005524861878453044,0.0,0.0,1.18,0.0,0.45,0.0,0.0,0.0,0.0,0.0,-0.32,-0.0,-1.93,-0.0,-1.41,-0.0,-0.32,-0.0,0.0,0.0,4,0.0,0.0,0.0,-0.15,-0.0,0.25,0.0,11.02,0.0,-4.93,-0.0,-4.16,-0.0,-4.43,-0.0,0.0,0.0,0.0,0.0,0,3,0.0,0,4.19,0.0,0.85,0.0,0,0,-2.16,-0.0,1.25,0.0,0,207.1,0.0,703.81,0.0,41.06,0.0,0.0,0.0,0.0,-38.98,-0.0,0.0,3.08,0.0,0.0,0.0,71.52,0.0,32.54,0.0,0.19,0.0,0.6,0.0,1.05,0.0,0.23,0.0,0.0,0.0,-1.13,-0.0,8.57,0.0,0.18,0.0,-78.34,0.005777378354089136,146.33,0.005704467353951976,5.73,0.005263157894736885,16.68,0.0158343483556637,0.0,0.0,0.18,0.0,69.43,0.0,0.0,0.0,0.0,0.0,0.19,0.0,10.02,0.004008016032064043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.83,0.0035460992907802237,3.08,0.0,15.36,0.0,7.11,0.0,33.03,0.0,737.0,0.0,30.03,0.0,11.69,0.0,1.01,0.0,33.03,0.0,-2.55,-0.0,0.0,0.0,0,4.01,0.0,7.74,-0.007692307692307642,-32.64,-0.0,78.77,0.0,0.0,0.0,8.06,0.0,31.81,0.0,0.016130646275355952
ATNI,-0.00915422885572141,-0.02912915255,0.011077542741921626,805577000,0.0,5.196152423,0.0,0.07032944692000001,-0.3306311979869796,1.46,0.0,0.289520202,0.0,82,0.0,18.61,-0.08908467939304945,-3,-0.0,-1,-0.0,1.0,0.0,19,90,8,1.6666666666666667,-4.5,-0.0,2.64,-0.011235955056179702,-2.55,-0.0,40.61,0.0,6.54,0.0,0.68,0.0,3.43,0.0,-0.88,-0.0,0.33,0.0,5.86,0.0,-0.88,-0.0,0.0,0.0,6,0.0,58.25,0.0,0.68,0.0,31.35,0.0,92.2,0.0,-21.02,-0.0,-12.45,-0.0,-18.7,-0.0,-4.89,-0.0,6.0,0.0,0,6,0.0,0,28.53,0.0,0.71,0.0,0,0,29.25,0.0,8.57,0.0,0,-63.29,-0.0,-111.48,-0.0,11.25,0.0,0.0,0.83,0.0,-100.28,-0.0,0.0,1.62,0.0,8.39,0.0,141.44,0.0,32.77,0.0,0.13,0.0,4.43,0.0,0.21,0.0,0.28,0.0,0.0,0.0,0.68,0.0,3.53,0.0,0.6,0.0,170.36,-0.02024384633080275,9.89,-0.019821605550049484,2.03,-0.024038461538461665,93.9,-0.022282382340691385,-5.68,-0.0,0.06,0.0,24.0,0.0,10.87,0.0,0.04,0.0,0.11,0.0,1.23,-0.008064516129032265,0.0,0.0,0.0,0.0,0.0,0.0,73.86,-0.010980182110337538,0.0,0.0,9.26,-0.010683760683760646,0.0,0.0,1.71,-0.011560693641618507,1.75,-0.011299435028248598,1.59,0.0,-8.94,-0.0,-7.47,-0.0,4.1,0.0,-9.24,-0.0,-6.06,-0.0,-12.49,-0.0,-12.13,-0.0,4.1,0.0,0.65,0.0,14.58,-0.010183299389002061,0,-2.79,-0.0,0.76,-0.11627906976744183,-8.06,-0.0,53.28,0.0,0.0,0.0,-16.58,-0.0,6.72,0.0,0.016130646275355952
BRMK,-0.01672862453531596,0.9020715631,0.02917733534226851,1406000000,-0.018156424581005588,6.0,0.0,0.07231921762,-0.33909014205764054,11.03,0.0,2.036483586,0.0,112,0.0,3.92,-0.35526315789473684,3,0.0,1,0.0,0.0,0.0,6,6,18,0.0,0.0,0.0,66.64,-0.021726365237815678,-2.2,-0.0,8.86,0.0,1.69,0.0,0.78,0.0,0.0,0.0,0.71,0.0,0.69,0.0,0.69,0.0,0.71,0.0,0.68,0.0,9,-0.1,88.93,0.0,0.46,0.0,1.76,0.0,42.59,0.0,1.59,0.0,7.72,0.0,1.59,0.0,0.0,0.0,4.0,0.0,0,5,0.0,0,0.93,0.0,0.8,0.0,0,0,7.82,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.01981707317073183,8.1,0.0,0.0,0.0,0.99,0.0,12.91,-0.025660377358490555,12.86,-0.025757575757575746,9.65,-0.026236125126135195,0.0,0.0,0.0,0.0,0.12,0.0,10.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,-0.016393442622950834,14.94,-0.02032786885245905,14.94,-0.02032786885245905,0.0,0.0,22.86,-0.02056555269922881,15.66,-0.02124999999999999,22.86,-0.02056555269922881,0.0,0.0,1.36,-0.014492753623188259,11.46,-0.02134927412467976,80.34,0.0,7.6,0.0,6.72,0.0,10.75,0.0,0.0,0.0,8.94,0.0,6.79,0.0,5.9,0.0,10.75,0.0,-0.39,-0.0,0.0,0.0,0,-0.5,-0.0,7.58,-0.007853403141361206,23.56,0.0,0.0,0.0,0.0,0.0,61.37,0.0,80.81,0.0,0.016130646275355952
DHX,0.03294892915980219,-0.1831210191,-0.012738853719523774,177947000,0.0,5.0,0.0,0.10042035380000001,-0.06585664388144433,0.78,0.0,2.704383633,0.0,468,0.0,40.54,0.022704339051463133,-3,-0.0,-1,-0.0,1.0,0.0,0,37,6,0.0,0.0,0.0,1.17,0.008620689655172422,-2.75,-0.0,2.49,0.0,0.15,0.0,0.0,0.0,0.18,0.0,-0.62,-0.0,-0.66,-0.0,-0.41,-0.0,-0.62,-0.0,0.0,0.0,5,0.0,89.69,0.0,0.05,0.0,18.2,0.0,50.68,0.0,-2.07,-0.0,-1.56,-0.0,-1.77,-0.0,-0.87,-0.0,4.0,0.0,0,5,0.0,0,2.82,0.0,0.62,0.0,0,0,-0.58,-0.0,0.72,0.0,0,-26.12,-0.0,-42.86,-0.0,-4.25,-0.0,0.0,6.41,-0.016871165644171692,-310.6,-0.0,0.0,0.51,0.0,0.0,0.0,361.42,0.0,50.82,0.0,0.15,0.0,1.95,0.0,0.29,0.0,0.28,0.0,0.0,0.0,-22.12,-0.0,1.84,0.0,0.53,0.0,-6.18,0.009803921568627387,-9.97,0.010131712259371978,1.43,0.014184397163120581,17.64,0.012048192771084387,0.0,0.0,0.55,0.0,46.54,0.0,0.0,0.0,0.0,0.0,0.14,0.0,1.28,0.015873015873015886,0.0,0.0,0.0,0.0,0.0,0.0,61.25,0.014408744617422945,0.0,0.0,8.29,0.013447432762836116,0.0,0.0,0.0,0.0,1.13,0.018018018018017834,0.51,0.0,8.77,0.0,3.23,0.0,3.61,0.0,17.34,0.0,3.86,0.0,6.32,0.0,7.1,0.0,3.61,0.0,5.0,0.0,17.69,0.0143348623853211,0,-13.61,-0.0,9.47,-0.003157894736842038,2.02,0.0,86.56,0.0,0.0,0.0,6.01,0.0,5.33,0.0,0.016130646275355952
LMNX,-0.007295325587678899,0.2677068581,0.002451648204390576,1744000000,0.12082262210796915,2.236067977,0.0,0.062497304239999996,-0.24520699107772817,2.54,0.0,2.499923791,0.0,144,0.0,58.87,-0.018015012510425445,3,0.0,-1,-0.0,1.0,0.0,10,23,5,-0.2857142857142857,-5.2,-0.0,4.81,-0.002074688796680638,-3.22,-0.0,11.33,0.0,6.77,0.0,0.37,0.0,0.46,0.0,0.33,0.0,0.9,0.0,1.57,0.0,0.33,0.0,0.0,0.0,6,0.0,69.42,0.0,0.69,0.0,8.5,0.0,92.11,0.0,0.04,0.0,4.41,0.0,2.48,0.0,0.19,0.0,7.0,0.0,0,7,0.0,0,9.1,0.0,0.53,0.0,0,0,6.9,0.0,4.87,0.0,0,67.09,0.0,-85.71,-0.0,18.53,0.0,0.0,-1.18,0.008547008547008555,241.38,0.0,0.0,5.82,0.0,226.36,0.0,37.17,0.0,52.19,0.0,0.27,0.0,3.09,0.0,0.43,0.0,0.5,0.0,0.9,0.0,4.28,0.0,9.06,0.0,0.63,0.0,39.77,-0.005003752814610852,22.92,-0.004776378636560982,3.95,-0.005037783375314866,0.0,0.0,-7.9,-0.0,0.14,0.0,31.51,0.0,0.4,0.0,1.05,0.0,0.26,0.0,3.24,-0.0030769230769230114,111.21,-0.004654076792267164,111.21,-0.004654076792267164,0.0,0.0,53.27,-0.00448514296393188,0.0,0.0,34.01,-0.004682470002926651,193.16,-0.004586446792063977,5.32,-0.0037453183520598453,4.03,-0.0049382716049381666,4.41,0.0,0.16,0.0,0.12,0.0,0.4,0.0,20.82,0.0,5.57,0.0,0.18,0.0,0.09,0.0,0.4,0.0,-3.06,-0.0,79.78,-0.004616344354335677,0,-2.04,-0.0,4.97,-0.009960159362549766,4.16,0.0,57.85,0.0,0.0,0.0,0.21,0.0,9.43,0.0,0.016130646275355952
TAP,0.013628455441716711,1.872275114,-0.01364372132518409,11379000000,0.015891438264440675,4.472135955,0.0,0.08152239109000001,-0.062173437578416764,1.01,0.0,0.5380600649,-0.5045920977639232,1334,0.006033182503770739,17.9,0.23278236914600545,3,-2.0,-1,-0.0,1.0,0.0,11,104,3,-0.4,-15.0,-0.0,1.05,0.019417475728155355,-2.86,-0.0,57.07,0.0,3.55,0.0,0.57,0.0,3.45,0.0,-4.38,-0.0,-1.71,-0.0,2.54,0.0,-4.38,-0.0,0.0,0.0,4,0.0,69.08,0.0,5.17,0.0,1.33,0.0,98.53,0.0,-65.52,-0.0,-57.91,-0.0,-62.08,-0.0,-0.73,-0.0,5.0,0.0,0,7,0.0,0,44.51,0.0,0.7,0.0,0,0,-33.88,-0.0,38.19,0.0,0,-781.9,-0.0,-942.67,-0.0,-7.67,-0.0,0.0,0.0,0.0,-88.73,-0.0,0.0,0.62,0.0,43.11,0.0,156.57,0.0,24.73,0.0,0.3,0.0,-1.66,-0.0,0.67,0.0,0.9,0.0,0.0,0.0,-2.1,-0.0,3.11,0.0,0.45,0.0,-52.27,0.02329678935003925,34.93,0.02343978904189854,2.0,0.025641025641025664,13.52,0.03920061491160644,9.0,0.0,0.23,0.0,12.79,0.0,2.12,0.0,0.29,0.0,0.26,0.0,0.93,0.03333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,10.29,0.03939393939393927,0.0,0.0,6.8,0.03816793893129771,0.0,0.0,0.0,0.0,1.19,0.03478260869565221,0.45,0.0,-71.79,-0.0,-19.57,-0.0,3.76,0.0,-137.95,-0.0,-24.34,-0.0,-42.35,-0.0,-53.61,-0.0,3.76,0.0,-0.17,-0.0,15.41,0.03910991233985166,0,-8.16,-0.0,6.21,0.0016129032258064171,3.67,0.0,39.02,0.0,0.0,0.0,-59.7,-0.0,10.76,0.0,0.016130646275355952
JOUT,-0.014766529200478907,0.24012341539999998,0.00778053550927347,1463000000,0.0,5.0,0.0,0.09021217242,0.1469894746087503,1.46,0.0,1.0950022959999999,0.0,101,0.01,32.56,-0.026315789473684077,0,0.0,-1,-0.0,1.5,0.0,4,17,9,0.0,26.3,0.0,8.05,0.0,-2.42,-0.0,39.42,0.0,19.38,0.0,0.72,0.0,3.17,0.0,6.78,0.0,9.06,0.0,10.54,0.0,6.78,0.0,0.0,0.0,8,0.0,53.26,0.0,6.22,0.0,24.75,0.0,56.15,0.0,1.72,0.0,23.6,0.0,14.62,0.0,5.93,0.0,7.0,0.0,0,8,0.0,0,62.69,0.0,0.44,0.0,0,0,37.43,0.0,3.92,0.0,0,143.71,0.0,206.25,0.0,28.7,0.0,0.0,0.03,0.0,110.81,0.0,0.0,3.68,0.0,106.86,0.0,41.4,0.0,45.35,0.0,0.07,0.0,0.34,0.0,0.1,0.0,0.06,0.0,4.57,-0.0021834061135370714,9.29,0.0,0.32,0.0,0.69,0.0,14.72,0.0006798096532970622,12.65,0.0015835312747426423,2.13,0.004716981132075371,0.0,0.0,22.88,0.0,0.02,0.0,53.44,0.0,0.85,0.0,0.64,0.0,0.06,0.0,3.76,0.0,21.88,0.0009149130832570711,21.88,0.0009149130832570711,0.83,0.0,23.86,0.001258917331095306,0.0,0.0,18.84,0.0010626992561104981,25.01,0.0008003201280513457,3.96,0.0,2.37,0.004237288135593318,2.67,0.0,14.66,0.0,14.14,0.0,28.25,0.0,52.39,0.0,23.04,0.0,20.44,0.0,7.15,0.0,28.25,0.0,-0.42,-0.0,46.79,0.001069747539580598,0,1.04,0.0,7.78,-0.007653061224489746,-9.43,-0.0,45.29,0.0,0.0,0.0,11.98,0.0,14.22,0.0,0.016130646275355952
